"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Steinach am Brenner","AT","Tirol","village","83","2","Best option: Wohnmobilstellplatz Steinach – €18-22/night, waste facilities, 500m from center. Alternative: Gasthof Brenner parking (ask first). Wild camping: Illegal and regularly enforced on Brenner route","2","","Europe's most bombed village during WWII due to its strategic railway location, with 147 documented air raids","May–Sep","Dec–Mar when avalanche risk closes mountain passes","","","","","","","","","",""
"Navalmanzano","ES","Castile and León","village","83","2","Best option: Municipal parking near church – free, no facilities, village center. Alternative: Drive to Segovia 40km for proper stellplatz. Wild camping: Tolerated outside village, minimal enforcement","3","","Home to Spain's last traditional ice houses where locals still harvest ice from mountain lakes using medieval techniques","Apr–Jun, Sep–Oct","Jul–Aug when extreme heat makes ice harvesting impossible","","","","","","","","","",""
"Aliağa","TR","Aegean Region","medium_town","83","2","Best option: Marina parking area – 50-80 TL/night, basic facilities, coastal location. Alternative: Petrol station overnight (ask permission). Wild camping: Generally tolerated away from residential areas","3","","World's largest ship graveyard where 40% of the globe's decommissioned vessels are dismantled by hand on the beaches","Mar–May, Oct–Nov","Jun–Sep when temperatures exceed 45°C and toxic fumes intensify","","","","","","","","","",""
"Grenaa","DK","Central","small_town","83","2","Best option: Grenaa Marina – 160-200 DKK/night, full facilities, harbor location. Alternative: DCU Camping Grenaa 2km south. Wild camping: Illegal and enforced – strict Danish wild camping laws","2","","Home to Denmark's only operating railway ferry - the Samsøfærgen carries trains across to Samsø island, one of only a handful of such ferries left in Europe.","May–Sept","Nov–Mar: brutal North Sea winds and most ferry services reduced","","","","","","","","","",""
"Kranjska Gora","SI","null","village","83","3","Best option: Kamp Špik – €25/night, mountain views, 1km to center
Alternative: Parking at Zelenci springs – day use, some overnight tolerance
Wild camping: illegal in Triglav National Park, fines issued","2","€10 Triglav National Park","The ski jumps here were built by prisoners of war and still host World Cup events - you can actually climb the 90m jump tower for €5 and experience what ski jumpers see before launch.","Dec–Mar, Jun–Sept","Apr–May: melting snow creates muddy trails and lift closures","","","","","","","","","",""
"Livorno","IT","Tuscany","medium_town","83","3","Best option: Area Sosta Livorno Porto – €20/night, port location, walking distance to ferries
Alternative: Parcheggio Via del Littorale – free but no services
Wild camping: tolerated in industrial port areas, avoid residential zones","2","","Built entirely from scratch in the 16th century as Italy's first 'new town' with a grid system - locals still call non-Livornese Italians 'foreigners' and have their own dialect unintelligible to other Tuscans.","Apr–Jun, Sept–Oct","Jul–Aug: cruise ship crowds dump 15,000+ tourists daily into the small historic center","","","","","","","","","",""
"Hailey","US","Idaho","small_town","83","2","Best option: Hailey RV Park – $35-45/night, full hookups, in town. Alternative: Walmart parking (manager permission). Wild camping: Legal on National Forest land nearby, plenty of options in Sawtooth area","2","","Birthplace of poet Ezra Pound and current home to more private jets per capita than anywhere in America - Sun Valley Airport serves the ultra-wealthy with zero commercial flights.","Jun–Sept, Dec–Mar","Apr–May: mud season makes backcountry roads impassable","","","","","","","","","",""
"Goodland","US","Kansas","village","83","2","Best option: Sugar Hills RV Park – $25-35/night, full hookups, north of town. Alternative: Walmart Supercenter parking (common stop for travelers). Wild camping: Limited options – mostly private farmland, ask permission","2","","Home to the world's largest easel (80 feet tall) displaying a reproduction of van Gogh's 'Three Sunflowers' - visible from I-70 and required no city permits because it technically counts as farm equipment.","Apr–Oct","Dec–Feb: prairie winds create whiteout blizzard conditions","","","","","","","","","",""
"Chiclana de Segura","ES","Andalusia","village","83","2","Best option: Plaza parking near town hall – free, no facilities, center location. Alternative: Drive to Úbeda 30km for area de autocaravanas. Wild camping: Tolerated outside village in olive groves, minimal enforcement","3","","Spain's smallest municipality by population (under 1,000) that still maintains its own bullfighting ring - fights happen just twice yearly and locals literally sit on their own front steps as stadium seating.","Apr–Jun, Sept–Oct","Jul–Aug: temperatures hit 45°C with zero shade in the plaza","","","","","","","","","",""
"Erdek","TR","Balıkesir","medium_town","83","2","Best option: Erdek Marina area – 60-100 TL/night, basic facilities, waterfront. Alternative: Beach parking areas (check local tolerance). Wild camping: Generally tolerated on beaches/rural areas away from town","3","","Turkey's olive oil capital produces 40% of the country's olives but the trees are so dense that Google Earth shows the peninsula as solid green - harvest season employs the entire town including children skipping school.","Apr–Jun, Sept–Oct","Jul–Aug: olive processing creates an overwhelming smell of fermenting fruit","","","","","","","","","",""
"Goldfield","US","Nevada","village","83","2","Best option: Goldfield RV Park – $20-30/night, basic hookups, historic mining town setting. Alternative: BLM land nearby for free camping. Wild camping: Abundant free BLM camping options within 5 miles","3","","Once Nevada's largest city (20,000 people) now has 268 residents but still maintains a courthouse that cost $300,000 in 1907 - equivalent to $8 million today for a building serving fewer people than a small apartment complex.","Apr–Oct","Dec–Feb: elevation of 5,690 feet means surprise snowstorms trap vehicles","","","","","","","","","",""
"Brandenberg","AT","Tirol","village","83","2","Best option: Parking at Brandenberger Ache – free, no facilities, nature location. Alternative: Gasthof parking (ask permission). Wild camping: Illegal above treeline, gray area in valleys – enforcement varies","3","","Austria's glass-making center where Swarovski crystal components are still hand-cut - the factory outlet sells 'seconds' with microscopic flaws for 90% less than retail, but you need a jeweler's loupe to spot defects.","Dec–Mar, Jun–Sept","Apr–May: Alpine roads close unpredictably due to rockfall from snowmelt","","","","","","","","","",""
"Calamocha","ES","Aragon","village","83","2","Best option: Area de Autocaravanas Calamocha – free, waste facilities, edge of town. Alternative: Municipal sports center parking. Wild camping: Tolerated outside town limits, minimal enforcement","2","","Officially Spain's coldest town with winter temperatures hitting -30°C, yet it sits in sunny Aragon - the extreme cold comes from sitting in a unique valley that traps frigid air like a natural freezer.","Jun–Aug","Dec–Feb: becomes an ice trap with temperatures colder than northern Scandinavia","","","","","","","","","",""
"Kalundborg","DK","Zealand","small_town","83","2","Best option: Kalundborg Marina – 180-220 DKK/night, full facilities, harbor location. Alternative: DCU Camping Kalundborg 3km east. Wild camping: Illegal and enforced – Denmark has strict regulations","2","","World's first industrial symbiosis where eight companies share steam, water, and waste - Novo Nordisk's insulin factory waste heat literally warms the entire town's homes and greenhouses.","May–Sept","Nov–Mar: chemical plant maintenance creates strong sulfur odors","","","","","","","","","",""
"Alcaraz","ES","Castile-La Mancha","village","83","2","Best option: Plaza Mayor parking – free overnight, no facilities, historic center. Alternative: Municipal pool area parking. Wild camping: Tolerated outside village in countryside, rare enforcement","3","","Spain's highest altitude town hall sits at 1,000m elevation in a Renaissance square so perfectly preserved it's used as a movie set for period films - parking is literally in medieval stone courtyards.","May–Sept","Dec–Feb: mountain snow cuts off access roads for days","","","","","","","","","",""
